Filename matlab-file,Year,month,day,hour,min,Wake quality,"Annotated [y=1, n=0]",Matched with ship [y/n],Turb file [y/n],Wake size
day_08_28,2018,8,28,11,53,Good,0,n,n,
day_08_28,2018,8,28,14,45,Good,0,n,n,Small
day_08_28,2018,8,28,17,32,Good,1,y,y,Small
day_08_28,2018,8,28,18,36,Ok,0,n,n,Small
night_08_28_29,2018,8,28,23,23,bad,0,n,n,Small
night_08_28_29,2018,8,29,0,12,bad,1,y,y,Small
night_08_28_29,2018,8,29,2,58,ok,1,y,y,big
day_08_29,2018,8,29,10,0,Good,0,n,n,Very big
day_08_29,2018,8,29,14,50,Good,1,y,y,small
day_08_29,2018,8,29,15,15,Good,1,y,y,small
night_08_29_30,2018,8,29,18,55,ok,1,y,y,big
day_08_30,2018,8,30,4,59,Good,1,y,y,tiny
day_08_30,2018,8,30,12,22,Good,1,y,y,tiny
day_08_30,2018,8,30,16,25,Good,0,n,n,tiny
day_08_30,2018,8,30,16,38,Good,0,n,n,tiny
day_08_31,2018,8,31,6,45,ok,0,n,n,Ambiguous
day_08_31,2018,8,31,14,33,ok,1,y,y,big
night_08_31_01,2018,8,31,19,4,bad,0,n,n,not visible
night_08_31_01,2018,8,31,19,22,bad,1,y,y,big
night_08_31_01,2018,8,31,19,47,bad,1,y,y,big
day_09_01,2018,9,1,6,22,ok,0,n,n,tiny
day_09_01,2018,9,1,14,18,good,1,y,y,small
day_09_02,2018,9,2,12,22,good,1,y,y,small
day_09_02,2018,9,2,17,0,good,0,n,n,tiny
day_09_02,2018,9,2,17,42,good,1,y,y,big
night_09_02_03,2018,9,3,3,30,ok,0,n,n,big
day_09_03,2018,9,3,4,12,good,0,n,n,small
day_09_03,2018,9,3,7,12,good,1,y,y,small
day_09_03,2018,9,3,12,20,good,1,y,y,small
day_09_03,2018,9,3,17,57,good,0,n,n,small
night_09_03_04,2018,9,3,18,32,ok,0,n,n,tiny
night_09_03_04,2018,9,4,1,52,bad,0,n,n,tiny
day_09_04,2018,9,4,4,8,good,1,y,y,big/small
day_09_04,2018,9,4,4,51,good,1,y,y,big/small
day_09_04,2018,9,4,6,49,good,0,n,n,small
day_09_04,2018,9,4,6,58,ok,1,y,y,tiny
day_09_04,2018,9,4,8,39,ok,0,n,n,small
day_09_04,2018,9,4,14,28,good,1,y,y,small
night_09_04_05,2018,9,4,23,7,bad,1,y,y,big
day_09_05,2018,9,5,13,48,ok,0,n,n,not visible
day_09_06,2018,9,6,4,37,good,1,y,y,big
day_09_06,2018,9,6,5,1,good,0,n,n,fish
day_09_06,2018,9,6,13,18,good,0,n,n,fish
day_09_06,2018,9,6,13,29,good,0,n,n,Very big
day_09_06,2018,9,6,15,18,good,0,n,n,tiny
day_09_06,2018,9,6,16,19,Good,1,y,y,tiny
night_09_06_07,2018,9,6,23,32,bad,1,y,y,small
night_09_06_07,2018,9,7,0,23,bad,0,n,n,not visible
night_09_06_07,2018,9,7,3,21,ok,1,y,y,big
day_09_07,2018,9,7,4,35,good,0,n,n,fish
day_09_07,2018,9,7,5,0,Good,1,y,y,Very big
day_09_07,2018,9,7,5,47,Good,0,n,n,fish
day_09_07,2018,9,7,11,35,Good,0,n,n,not visible
day_09_07,2018,9,7,17,20,Good,0,n,n,fish
night_09_07_08,2018,9,7,18,42,bad,0,n,n,not visible
night_09_07_08,2018,9,7,20,39,bad,0,n,n,not visible
night_09_07_08,2018,9,7,21,23,bad,1,y,y,small
night_09_07_08,2018,9,8,1,54,bad,0,n,n,small
day_09_09,2018,9,9,12,54,bad,1,y,y,very big
day_09_09,2018,9,9,14,22,bad,0,n,n,not visible
day_09_09,2018,9,9,15,51,Good,1,y,y,big
day_09_10,2018,9,10,10,55,Good,0,n,n,fish
day_09_10,2018,9,10,11,9,Good,1,y,y,Very big
day_09_10,2018,9,10,13,30,excellent,1,y,y,small
day_09_10,2018,9,10,14,56,excellent,1,y,y,small
day_09_10,2018,9,10,15,6,excellent,1,y,y,very big
day_09_10,2018,9,10,15,17,excellent,1,y,y,small
day_09_10,2018,9,10,16,42,excellent,0,n,n,small
night_09_10_11,2018,9,10,19,55,bad,0,n,n,tiny
night_09_10_11,2018,9,10,20,0,bad,1,y,y,big
night_09_10_11,2018,9,10,20,16,bad,1,y,y,small
night_09_10_11,2018,9,10,23,25,bad,0,n,n,not visible
day_09_11,2018,9,11,5,57,good,1,y,y,big
day_09_11,2018,9,11,10,2,bad,0,n,n,tiny
day_09_11,2018,9,11,13,5,bad,0,n,n,not visible
day_09_11,2018,9,11,15,28,bad,0,n,n,not visible
day_09_11,2018,9,11,17,53,bad,0,n,n,not visible
night_09_11_12,2018,9,11,18,17,bad,1,y,y,Very big
night_09_11_12,2018,9,12,2,0,bad,1,y,y,tiny
day_09_12,2018,9,12,4,31,ok,1,y,y,small
day_09_12,2018,9,12,4,47,ok,1,y,y,big
day_09_12,2018,9,12,9,7,bad,0,n,n,Ambiguous
day_09_12,2018,9,12,9,26,bad,0,n,n,Ambiguous
day_09_12,2018,9,12,11,11,bad,1,y,y,small
day_09_12,2018,9,12,16,25,bad,0,n,n,internal
day_09_12,2018,9,12,17,22,bad,1,y,y,Very big
night_09_12_13,2018,9,12,18,55,bad,0,n,n,small
night_09_12_13,2018,9,12,23,9,bad,0,n,n,tiny
night_09_12_13,2018,9,13,3,20,ok,1,y,y,big
day_09_13,2018,9,13,14,33,good,1,y,y,tiny
day_09_13,2018,9,13,15,0,good,0,n,n,Ambiguous
night_09_13_14,2018,9,13,17,47,bad,1,y,y,Very big
night_09_13_14,2018,9,13,17,58,bad,1,y,y,small
night_09_13_14,2018,9,13,19,29,bad,1,y,y,small
night_09_13_14,2018,9,14,3,57,bad,0,n,n,Ambiguous
day_09_14,2018,9,14,4,52,ok,0,n,n,not visible
day_09_14,2018,9,14,4,56,ok,1,y,y,Very big
night_09_14_15,2018,9,14,18,50,bad,1,y,y,small
day_09_15,2018,9,15,7,28,Good,1,y,y,small
day_09_15,2018,9,15,9,32,Good,1,y,y,tiny
day_09_15,2018,9,15,10,50,Good,1,y,y,small
night_09_15_16,2018,9,16,0,37,bad,1,y,y,small
day_09_16,2018,9,16,11,39,ok,0,n,n,very big
day_09_16,2018,9,16,12,19,bad,1,y,y,small
day_09_16,2018,9,16,15,29,bad,1,y,y,small
day_09_16,2018,9,16,16,40,bad,0,n,n,small
night_09_16_17,2018,9,16,23,25,bad,0,n,n,Ambiguous
night_09_16_17,2018,9,17,0,0,bad,0,n,n,small
night_09_16_17,2018,9,17,3,54,bad,0,n,n,Ambiguous
night_09_17_18,2018,9,17,18,22,bad,1,y,y,small
night_09_17_18,2018,9,17,19,29,bad,1,y,y,small
night_09_17_18,2018,9,17,19,48,bad,1,y,y,tiny
night_09_17_18,2018,9,17,23,37,bad,0,y,n,big
night_09_17_18,2018,9,17,23,55,bad,0,n,n,Very big
night_09_17_18,2018,9,18,3,37,bad,1,y,y,small
night_09_17_18,2018,9,18,3,46,bad,1,y,y,big
day_09_18,2018,9,18,5,54,ok,1,y,y,big
day_09_18,2018,9,18,7,34,bad,0,n,n,Ambiguous/tiny
day_09_18,2018,9,18,8,2,bad,0,n,n,overlap
day_09_18,2018,9,18,8,11,bad,0,n,n,overlap
day_09_18,2018,9,18,8,30,bad,0,n,n,overlap
day_09_18,2018,9,18,8,51,bad,0,n,n,overlap
day_09_18,2018,9,18,14,27,bad,1,y,y,very big
day_09_18,2018,9,18,14,48,bad,0,n,n,small
night_09_18_19,2018,9,18,20,57,bad,0,n,n,small
night_09_18_19,2018,9,18,23,1,bad,0,n,n,small
night_09_18_19,2018,9,18,23,20,bad,0,n,n,small
night_09_18_19,2018,9,19,0,17,bad,1,y,y,small
night_09_18_19,2018,9,19,0,28,bad,1,y,y,big
night_09_18_19,2018,9,19,0,36,bad,1,y,y,big
night_09_18_19,2018,9,19,3,33,bad,1,y,y,tiny
day_09_19,2018,9,19,8,47,ok,1,y,y,small
night_09_19_20,2018,9,19,17,38,bad,0,n,n,big
night_09_19_20,2018,9,20,1,45,bad,0,n,n,Ambiguous
night_09_19_20,2018,9,20,3,55,bad,1,y,y,big
day_09_20,2018,9,20,16,52,ok,0,n,n,small
day_09_20,2018,9,20,17,5,ok,0,n,n,small
night_09_20_21,2018,9,20,17,35,ok,1,y,y,small
night_09_20_21,2018,9,20,20,55,bad,1,y,y,small
day_09_21,2018,9,21,8,51,bad,1,y,y,big
day_09_21,2018,9,21,16,56,bad,0,n,n,Ambiguous/big
night_09_21_22,2018,9,21,18,17,bad,0,n,n,Ambiguous/small
night_09_21_22,2018,9,21,22,4,bad,0,n,n,Ambiguous
night_09_21_22,2018,9,22,4,6,bad,0,n,n,Ambiguous/big
day_09_22,2018,9,22,15,46,bad,1,y,y,Very big
night_09_22_23,2018,9,22,17,25,bad,0,n,n,Ambiguous/small
day_09_23,2018,9,23,6,57,bad,1,y,y,big
day_09_23,2018,9,23,7,10,bad,0,n,n,Ambiguous/small
day_09_23,2018,9,23,8,11,bad,1,y,y,big
day_09_23,2018,9,23,8,37,ok,0,n,n,small
day_09_23,2018,9,23,11,40,good,1,y,y,Very big
day_09_23,2018,9,23,13,28,good,0,n,n,tiny/internal
day_09_23,2018,9,23,15,0,good,1,y,y,tiny
day_09_23,2018,9,23,15,30,good,1,y,y,small
night_09_23_24,2018,9,23,17,55,bad,1,y,y,big
night_09_23_24,2018,9,23,19,50,bad,0,n,n,tiny
night_09_23_24,2018,9,24,2,0,bad,1,y,y,tiny
day_09_24,2018,9,24,7,8,excellent,1,y,y,tiny
day_09_24,2018,9,24,8,51,excellent,1,y,y,small
day_09_24,2018,9,24,10,11,excellent,1,y,y,small
day_09_24,2018,9,24,11,7,excellent,0,n,n,tiny
day_09_24,2018,9,24,15,15,good,1,y,y,small
day_09_24,2018,9,24,15,47,good,1,y,y,tiny
day_09_24,2018,9,24,17,6,ok,1,y,y,tiny
night_09_24_25,2018,9,25,0,23,bad,1,y,y,big
day_09_25,2018,9,25,7,15,excellent,1,y,y,big
day_09_25,2018,9,25,10,41,excellent,0,n,n,small
